"","data_source","signal","geo_value","time_value","issue","lag","value","stderr","sample_size"
"195","fb-survey","smoothed_cli","sd",2020-05-04,2020-09-03,122,0.7038562,0.1717621,1844.9454
"196","fb-survey","smoothed_cli","tn",2020-05-04,2020-09-03,122,0.5093094,0.059855,10190.4595
"197","fb-survey","smoothed_cli","tx",2020-05-04,2020-09-03,122,0.4494022,0.0290251,38911.8884
"198","fb-survey","smoothed_cli","ut",2020-05-04,2020-09-03,122,0.4668311,0.0819603,5045.2804
"199","fb-survey","smoothed_cli","va",2020-05-04,2020-09-03,122,0.4146001,0.0405431,16251.835
"200","fb-survey","smoothed_cli","vt",2020-05-04,2020-09-03,122,0.5893413,0.1802867,1595.0012
"201","fb-survey","smoothed_cli","wa",2020-05-04,2020-09-03,122,0.4630188,0.054246,12186.807
"202","fb-survey","smoothed_cli","wi",2020-05-04,2020-09-03,122,0.4422903,0.0544505,10590.9565
"203","fb-survey","smoothed_cli","wv",2020-05-04,2020-09-03,122,0.4557497,0.0863584,4773.8401
"204","fb-survey","smoothed_cli","wy",2020-05-04,2020-09-03,122,0.8623826,0.2367923,1361.6307
"205","fb-survey","smoothed_cli","ak",2020-05-05,2020-09-03,121,0.3146008,0.1307033,1471
"206","fb-survey","smoothed_cli","al",2020-05-05,2020-09-03,121,0.6778432,0.0846656,6934.2285
"207","fb-survey","smoothed_cli","ar",2020-05-05,2020-09-03,121,0.6744098,0.1013245,4518.407
"208","fb-survey","smoothed_cli","az",2020-05-05,2020-09-03,121,0.4673535,0.0584673,10305.2591
"209","fb-survey","smoothed_cli","ca",2020-05-05,2020-09-03,121,0.3090391,0.0219346,47446.0644
"210","fb-survey","smoothed_cli","co",2020-05-05,2020-09-03,121,0.6045596,0.0681187,9323.0618
"211","fb-survey","smoothed_cli","ct",2020-05-05,2020-09-03,121,0.4891285,0.0661617,7984
"212","fb-survey","smoothed_cli","dc",2020-05-05,2020-09-03,121,0.3520327,0.2244167,629
"213","fb-survey","smoothed_cli","de",2020-05-05,2020-09-03,121,0.4684014,0.1217866,2510.0073
"214","fb-survey","smoothed_cli","fl",2020-05-05,2020-09-03,121,0.3588692,0.0278257,34740.0001
"215","fb-survey","smoothed_cli","ga",2020-05-05,2020-09-03,121,0.5239176,0.0525427,13446.8284
"216","fb-survey","smoothed_cli","hi",2020-05-05,2020-09-03,121,0.3405891,0.1060957,1877
"217","fb-survey","smoothed_cli","ia",2020-05-05,2020-09-03,121,0.5204358,0.0677989,7529.7108
"218","fb-survey","smoothed_cli","id",2020-05-05,2020-09-03,121,0.547151,0.1098941,3632.2136
"219","fb-survey","smoothed_cli","il",2020-05-05,2020-09-03,121,0.5032279,0.0391462,24571.0446
"220","fb-survey","smoothed_cli","in",2020-05-05,2020-09-03,121,0.5714673,0.059698,10920.0033
"221","fb-survey","smoothed_cli","ks",2020-05-05,2020-09-03,121,0.4335871,0.0743591,5215.915
"222","fb-survey","smoothed_cli","ky",2020-05-05,2020-09-03,121,0.4447622,0.0663311,6993.7056
"223","fb-survey","smoothed_cli","la",2020-05-05,2020-09-03,121,0.4670094,0.0624046,8258.1801
"224","fb-survey","smoothed_cli","ma",2020-05-05,2020-09-03,121,0.3913729,0.0574255,8701.0335
"225","fb-survey","smoothed_cli","md",2020-05-05,2020-09-03,121,0.5102244,0.0788846,6155.9896
"226","fb-survey","smoothed_cli","me",2020-05-05,2020-09-03,121,0.3452855,0.0833817,3765
"227","fb-survey","smoothed_cli","mi",2020-05-05,2020-09-03,121,0.4156353,0.0330364,27164.0307
"228","fb-survey","smoothed_cli","mn",2020-05-05,2020-09-03,121,0.5240315,0.0703723,7854.2073
"229","fb-survey","smoothed_cli","mo",2020-05-05,2020-09-03,121,0.4886827,0.0651083,8046.6317
"230","fb-survey","smoothed_cli","ms",2020-05-05,2020-09-03,121,0.5060334,0.0816638,5082.0175
"231","fb-survey","smoothed_cli","mt",2020-05-05,2020-09-03,121,0.5983678,0.1441102,2544.5794
"232","fb-survey","smoothed_cli","nc",2020-05-05,2020-09-03,121,0.4580805,0.0427425,19311.0233
"233","fb-survey","smoothed_cli","nd",2020-05-05,2020-09-03,121,0.3219537,0.1216166,1572.57
"234","fb-survey","smoothed_cli","ne",2020-05-05,2020-09-03,121,0.3865275,0.0799282,3953.6405
"235","fb-survey","smoothed_cli","nh",2020-05-05,2020-09-03,121,0.5409754,0.1051113,3653
"236","fb-survey","smoothed_cli","nj",2020-05-05,2020-09-03,121,0.5899863,0.0583255,12143.9966
"237","fb-survey","smoothed_cli","nm",2020-05-05,2020-09-03,121,0.5967982,0.1261547,2926.1515
"238","fb-survey","smoothed_cli","nv",2020-05-05,2020-09-03,121,0.4812053,0.0984515,3631.6881
"239","fb-survey","smoothed_cli","ny",2020-05-05,2020-09-03,121,0.5090953,0.0349873,30708.0025
"240","fb-survey","smoothed_cli","oh",2020-05-05,2020-09-03,121,0.4583948,0.0379433,23547.0056
"241","fb-survey","smoothed_cli","ok",2020-05-05,2020-09-03,121,0.4851851,0.0760809,6546.2214
"242","fb-survey","smoothed_cli","or",2020-05-05,2020-09-03,121,0.4444257,0.066535,7055.3817
"243","fb-survey","smoothed_cli","pa",2020-05-05,2020-09-03,121,0.3545207,0.0301806,29245.0172
"244","fb-survey","smoothed_cli","ri",2020-05-05,2020-09-03,121,0.3349927,0.1085687,2208.9665
"245","fb-survey","smoothed_cli","sc",2020-05-05,2020-09-03,121,0.3620024,0.0469588,10534.0068
"246","fb-survey","smoothed_cli","sd",2020-05-05,2020-09-03,121,0.5896596,0.1537794,1769.6245
"247","fb-survey","smoothed_cli","tn",2020-05-05,2020-09-03,121,0.5647998,0.0649796,9841.4659
"248","fb-survey","smoothed_cli","tx",2020-05-05,2020-09-03,121,0.4387284,0.0293048,37097.8803
"249","fb-survey","smoothed_cli","ut",2020-05-05,2020-09-03,121,0.4191694,0.0771792,4838.0466
"250","fb-survey","smoothed_cli","va",2020-05-05,2020-09-03,121,0.4239314,0.0415785,15695.3401
"251","fb-survey","smoothed_cli","vt",2020-05-05,2020-09-03,121,0.6072346,0.1857361,1548.0015
"252","fb-survey","smoothed_cli","wa",2020-05-05,2020-09-03,121,0.4316986,0.0533263,11847.6692
"253","fb-survey","smoothed_cli","wi",2020-05-05,2020-09-03,121,0.4564338,0.0566758,10218.9633
"254","fb-survey","smoothed_cli","wv",2020-05-05,2020-09-03,121,0.4034494,0.081482,4580.7912
